,ICPF.Nr,Plot,PlotID,LeadPostdoc,sample_date,Plot.Name.Number,code_country,code_plot,Country,Region,code_altitude,plot_size,mean_age,tree_species,mix_descr,mix_stringent,mix,biogeog,latitude,longitude
41,4_905,905,PINE_PLOT43,Filipa,27/10/2008,,4,905,Germany,Bavaria,10,0.26,101 - 120,PINE,a few Picea abies trees,1,0,Continental,49.11666667,10.58888889
42,4_906,SV19S,SPRUCE_PLOT19,Sietse,11/09/2014,Ebersberg,4,906,Germany,Bavaria,11,0.2503,61 - 80,SPRUCE,an understory of Beech,1,1,Continental,48.1225,11.91722222
43,4_908,SV05S,SPRUCE_PLOT5,Sietse,21/11/2013,Flossenburg,4,908,Germany,Bavaria,17,0.2599,61 - 80,SPRUCE,no,0,0,Continental,49.76305556,12.39666667
44,4_912,912,PINE_PLOT44,Filipa,24/09/2008,,4,912,Germany,Bavaria,9,0.25,61 - 80,PINE,The odd small Spruce,1,0,Continental,49.695,11.50361111
45,4_913,913,OAK_PLOT13,Laura,14/06/2011,,4,913,Germany,Bavaria,10,0.2676,101 - 120,OAK,"BS, AP, LS",1,1,Continental,48.92916667,11.76111111
46,4_914,914,OAK_PLOT14,Laura,16/06/2011,,4,914,Germany,Bavaria,10,0.26,81 - 100,OAK,BS,1,1,Continental,49.97694444,9.459722222
47,4_921,921,OAK_PLOT22,Laura,15/06/2011,,4,921,Germany,Bavaria,7,0.2601,81 - 100,OAK,"CB, BS",1,1,Continental,49.73166667,9.886666667
48,4_1001,1001,OAK_PLOT9,Laura,13/11/2010,,4,1001,Germany,Bavaria,7,0.295,NA,OAK,FS,1,1,Continental,49.32138889,7.017777778
49,4_1102,1102,PINE_PLOT33,Filipa,23/09/2008,,4,1102,Germany,Berlin-Brandenburg,2,0.32,NA,PINE,Some large Oaks present. Dense understory of Prunus/Sorbus - not sure if form ecto's,1,1,Continental,52.47222222,13.22666667
50,4_1201,1201,PINE_PLOT34,Filipa,08/10/2008,,4,1201,Germany,Berlin-Brandenburg,2,0.32,NA,PINE,Small Oak samplings and some tall Beech trees present,1,1,Continental,53.10111111,12.42861111
51,4_1205,1205,PINE_PLOT35,Filipa,22/09/2008,,4,1205,Germany,Berlin-Brandenburg,3,0.32,NA,PINE,different trees,1,1,Continental,51.79833333,13.56388889
